103/sw+preload ctrl true | ws 1.2 reqStart 1.4 FIRS 44.1 FRHS 0.0 respStart 44.1 respEnd 45.2
103/sw+preload ctrl true | ws 0.6 reqStart 0.7 FIRS 42.4 FRHS 0.0 respStart 42.4 respEnd 43.1
103/sw+preload ctrl true | ws 1.4 reqStart 1.5 FIRS 44.0 FRHS 0.0 respStart 44.0 respEnd 45.3
103/sw+preload ctrl true | ws 0.5 reqStart 0.5 FIRS 42.7 FRHS 0.0 respStart 42.7 respEnd 43.4
103/sw+preload ctrl true | ws 1.6 reqStart 1.7 FIRS 43.7 FRHS 0.0 respStart 43.7 respEnd 44.8
103/sw+preload ctrl true | ws 0.5 reqStart 0.6 FIRS 42.6 FRHS 0.0 respStart 42.6 respEnd 43.4
103/sw+preload ctrl true | ws 1.0 reqStart 1.2 FIRS 45.3 FRHS 0.0 respStart 45.3 respEnd 46.3
103/sw+preload ctrl true | ws 1.3 reqStart 1.3 FIRS 44.6 FRHS 0.0 respStart 44.6 respEnd 46.0
103/sw+preload ctrl true | ws 1.1 reqStart 1.2 FIRS 43.4 FRHS 0.0 respStart 43.4 respEnd 44.6
103/sw+preload ctrl true | ws 0.8 reqStart 1.0 FIRS 44.0 FRHS 0.0 respStart 44.0 respEnd 45.8
103/sw+preload ctrl true | ws 1.5 reqStart 1.7 FIRS 44.4 FRHS 0.0 respStart 44.4 respEnd 45.7
103/sw+preload ctrl true | ws 1.4 reqStart 1.5 FIRS 43.9 FRHS 0.0 respStart 43.9 respEnd 45.5
103/sw+preload ctrl true | ws 1.1 reqStart 1.3 FIRS 43.1 FRHS 0.0 respStart 43.1 respEnd 44.3
103/sw+preload ctrl true | ws 1.1 reqStart 1.2 FIRS 44.4 FRHS 0.0 respStart 44.4 respEnd 45.8
103/sw+preload ctrl true | ws 0.6 reqStart 0.7 FIRS 42.3 FRHS 0.0 respStart 42.3 respEnd 43.1
