no103/sw+preload ctrl true | ws 1.2 reqStart 1.5 FIRS 43.9 FRHS 0.0 respStart 43.9 respEnd 45.0
no103/sw+preload ctrl true | ws 0.6 reqStart 0.7 FIRS 41.9 FRHS 0.0 respStart 41.9 respEnd 42.7
no103/sw+preload ctrl true | ws 1.3 reqStart 1.4 FIRS 43.9 FRHS 0.0 respStart 43.9 respEnd 45.1
no103/sw+preload ctrl true | ws 0.6 reqStart 0.8 FIRS 41.9 FRHS 0.0 respStart 41.9 respEnd 42.6
no103/sw+preload ctrl true | ws 1.2 reqStart 1.3 FIRS 44.0 FRHS 0.0 respStart 44.0 respEnd 45.3
no103/sw+preload ctrl true | ws 1.0 reqStart 1.1 FIRS 42.9 FRHS 0.0 respStart 42.9 respEnd 44.1
no103/sw+preload ctrl true | ws 1.2 reqStart 1.3 FIRS 43.8 FRHS 0.0 respStart 43.8 respEnd 45.3
no103/sw+preload ctrl true | ws 1.0 reqStart 1.1 FIRS 43.3 FRHS 0.0 respStart 43.3 respEnd 44.2
no103/sw+preload ctrl true | ws 0.5 reqStart 0.5 FIRS 41.8 FRHS 0.0 respStart 41.8 respEnd 42.5
no103/sw+preload ctrl true | ws 0.7 reqStart 0.8 FIRS 43.0 FRHS 0.0 respStart 43.0 respEnd 43.8
no103/sw+preload ctrl true | ws 1.5 reqStart 1.7 FIRS 44.5 FRHS 0.0 respStart 44.5 respEnd 45.7
no103/sw+preload ctrl true | ws 1.1 reqStart 1.2 FIRS 43.7 FRHS 0.0 respStart 43.7 respEnd 45.0
no103/sw+preload ctrl true | ws 1.4 reqStart 1.6 FIRS 43.9 FRHS 0.0 respStart 43.9 respEnd 45.0
no103/sw+preload ctrl true | ws 0.6 reqStart 0.7 FIRS 42.8 FRHS 0.0 respStart 42.8 respEnd 43.5
no103/sw+preload ctrl true | ws 0.5 reqStart 0.5 FIRS 42.9 FRHS 0.0 respStart 42.9 respEnd 43.5
