1786267364936 hpa=[2 28] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:35Mi mem-lab-848f946569-svwnf:36Mi ]
1786267373102 hpa=[2 28] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:37Mi ]
1786267381248 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:37Mi ]
1786267389384 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267397525 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267405672 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267413807 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267421954 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267430104 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267438232 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:37Mi mem-lab-848f946569-svwnf:38Mi ]
1786267446364 hpa=[2 29] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:71Mi mem-lab-848f946569-svwnf:69Mi ]
1786267454475 hpa=[2 54] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:71Mi mem-lab-848f946569-svwnf:69Mi ]
1786267462585 hpa=[2 54] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:83Mi mem-lab-848f946569-svwnf:84Mi ]
1786267470696 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:83Mi mem-lab-848f946569-svwnf:84Mi ]
1786267478810 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:83Mi mem-lab-848f946569-svwnf:84Mi ]
1786267486950 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:83Mi mem-lab-848f946569-svwnf:84Mi ]
1786267495063 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:83Mi mem-lab-848f946569-svwnf:84Mi ]
1786267503180 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:84Mi ]
1786267511295 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:84Mi ]
1786267519427 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:84Mi ]
1786267527536 hpa=[2 65] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:84Mi ]
1786267535650 hpa=[2 66] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:85Mi ]
1786267543781 hpa=[2 66] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:84Mi mem-lab-848f946569-svwnf:85Mi ]
